CommonName, Gestation, Offspring
Lobo marino, 330, 1
Rinoceronte indio, 480, 1
Panda rojo, 112-158, 1-4
Antilope cervicapra, 165, 1
Takin, 210, 1
Mono capuchino, 160, 1
Gamo, 240, 1
Elefante asiatico, 660, 1
Bisonte, 285, 1
Tigre bengala, 103, 2-5
Lince, 70, 1-4
Leopardo, 90, 1-3
Leon asia, 14-15, 1-6
Arrui, 160, 1-2
Gacela, 180, 1
Jirafa, 420, 1
Camello, 270, 1
Hipopotamo, 240, 1
Babuino, 172, 1
Sitatunga, 240, 1
Gibon, 200, 1
Oso pardo, 210, 1-5
Lobo gris, 60-65, 5-7
Buho real, 34-36, 2-4
Cabra montesa, 165, 1
Muflon, 165, 1-2
Humano, 280, 1